,Unnamed: 0,name,candidate_id,candidate_state,party,incumbent_challenge_full,cycles,donation_count_in_state,total_raised_in_state,donation_count_out_of_state,total_raised_out_of_state,0,Color
185,92,"TARTER, THOMAS",S0IL00527,IL,REP,Challenger,[2020],97,59395.67,5,2900,TRUE,Blue
186,93,"TAYLOR, KANDISS SHARPE DR",S0GA00641,GA,REP,Challenger,[2020],5,3900,,,FALSE,Red
187,94,"TAYLOR, SCOTT W.",S0VA00104,VA,REP,Challenger,[2020],173,126035,325,353544,FALSE,Blue
188,95,"TILLIS, THOM R. SEN.",S4NC00162,NC,REP,Incumbent,"[2014, 2016, 2018, 2020]",4312,2520254.5,6791,4149528.09,FALSE,Red
189,96,"TUBERVILLE, THOMAS H",S0AL00230,AL,REP,Challenger,[2020],2247,1848391.56,932,831499.5,FALSE,Red
190,97,"TUCKER, GARLAND S III",S0NC00319,NC,REP,Challenger,[2020],727,440605.76,49,46225,FALSE,Red
191,98,"WAGLE, SUSAN",S0KS00299,KS,REP,Open seat,[2020],242,306690.47,84,45825,FALSE,Red
192,99,"WATERS, ALLEN",S0RI00067,RI,REP,Challenger,[2020],10,4510,2,3050,FALSE,Blue
193,100,"WHEELER, JOSHUA B",S0WY00103,WY,REP,Open seat,[2020],7,5375,3,700,FALSE,Red
194,101,"WHITT, LARRY ALLEN II",S0WV00231,WV,REP,Challenger,[2020],8,4650,6,3250,TRUE,Red
