,name,candidate_id,candidate_state,party,incumbent_challenge_full,office_full,cycles,election_years,candidate_status,donor_state,donation_count,total_raised,in_state
112,"BORGLUM, SCYLLER",S0SD00088,SD,REP,Challenger,Senate,[2020],[2020],C,WA,2,500.0,False
113,"BRITTAIN, CRAIG R",S8AZ00189,AZ,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,AZ,2,1015.58,True
114,"BROOKS, NATISHA",S0TN00235,TN,REP,Open seat,Senate,[2020],[2020],N,TN,8,1080.0,True
115,"BUCKNER, DWAYNE DUKE",S0SC00321,SC,REP,Challenger,Senate,[2020],[2020],C,ID,1,250.0,False
116,"BUCKNER, DWAYNE DUKE",S0SC00321,SC,REP,Challenger,Senate,[2020],[2020],C,OT,1,250.0,False
117,"BUCKNER, DWAYNE DUKE",S0SC00321,SC,REP,Challenger,Senate,[2020],[2020],C,SC,13,5600.0,True
118,"BUSH, BYRON",S0TN00201,TN,REP,Open seat,Senate,[2020],[2020],C,GA,1,500.0,False
119,"BUSH, BYRON",S0TN00201,TN,REP,Open seat,Senate,[2020],[2020],C,TN,9,7250.0,True
120,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,AL,1436,1497586.0,True
121,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,AR,2,750.0,False
122,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,CA,33,41275.0,False
123,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,CO,2,5600.0,False
124,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,CT,3,6600.0,False
125,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,DC,31,30200.0,False
126,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,FL,40,55650.0,False
127,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,GA,9,12760.0,False
128,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,GU,2,350.0,False
129,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,ID,1,1500.0,False
130,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,IL,4,3100.0,False
131,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,IN,1,15.0,False
132,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,LA,13,27800.0,False
133,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,MA,6,323.0,False
134,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,MD,6,3500.0,False
135,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,MI,13,35600.0,False
136,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,MO,7,10600.0,False
137,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,NC,2,5600.0,False
138,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,NJ,1,2800.0,False
139,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,NY,12,29050.0,False
140,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,OK,2,1500.0,False
141,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,OR,1,1000.0,False
142,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,PA,5,350.0,False
143,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,SC,1,100.0,False
144,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,TN,5,9100.0,False
145,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,TX,2,350.0,False
146,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,VA,55,50800.0,False
147,"BYRNE, BRADLEY ROBERTS",S0AL00206,AL,REP,Challenger,Senate,[2020],[2020],C,WY,1,2800.0,False
148,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,AL,7,14500.0,False
149,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,AR,4,6850.0,False
150,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,AZ,10,23250.0,False
151,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,CA,112,113105.0,False
152,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,CO,10,24900.0,False
153,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,CT,10,19825.0,False
154,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,DC,39,39638.33,False
155,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,FL,129,216925.0,False
156,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,GA,49,56366.66,False
157,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,IL,47,57456.0,False
158,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,IN,9,5850.0,False
159,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,KS,2,4000.0,False
160,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,KY,7,5850.0,False
161,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,LA,11,10775.0,False
162,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,MA,40,43650.0,False
163,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,MD,32,38600.0,False
164,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,MI,25,49175.0,False
165,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,MN,1,500.0,False
166,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,MO,43,71700.0,False
167,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,MS,3,6800.0,False
168,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,NC,28,6532.0,False
169,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,NE,3,5850.0,False
170,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,NH,10,235.0,False
171,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,NJ,39,48250.0,False
172,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,NV,18,13095.0,False
173,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,NY,164,212639.1,False
174,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,OH,63,119425.0,False
175,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,OK,4,8800.0,False
176,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,OT,2,5600.0,False
177,"CAPITO, SHELLEY MOORE",S4WV00159,WV,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",C,PA,38,56200.0,False
