,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party,candidate_status
7,"SINEMA, KYRSTEN",S8AZ00197,AZ,DEM,,Senate,"[2018, 2020]","[2018, 2024]",DEM,F
8,"SINGER, JAMES COURAGE",S8UT00135,UT,DEM,Open seat,Senate,"[2018, 2020]",[2018],DEM,P
9,"SMITH, TINA",S8MN00578,MN,DEM,Incumbent,Senate,"[2018, 2020]","[2018, 2020]",DEM,C
10,"STABENOW, DEBBIE",S8MI00281,MI,DEM,Incumbent,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",DEM,F
11,"STOKES, STEVE",S6CA00873,CA,DEM,Challenger,Senate,"[2016, 2018, 2020]","[2016, 2018]",DEM,N
12,"STRANDBERG, GREG",S8MT00267,MT,DEM,Challenger,Senate,[2018],[2018],DEM,N
13,"SVOBODA, FRANK B",S8NE00224,NE,DEM,Challenger,Senate,"[2018, 2020]",[2018],DEM,P
14,"SWEARENGIN, PAULA JEAN",S8WV00119,WV,DEM,Challenger,Senate,"[2018, 2020]",[2018],DEM,P
15,"TESTER, R. JON",S6MT00162,MT,DEM,Incumbent,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",DEM,F
16,"TRAUNER, GARY",S8WY00189,WY,DEM,Challenger,Senate,"[2018, 2020]",[2018],DEM,P
17,"VICE, MITCHELL KENT",S8UT00150,UT,DEM,Open seat,Senate,"[2018, 2020]",[2018],DEM,N
18,"WARREN, ELIZABETH",S2MA00170,MA,DEM,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2012, 2018, 2024]",DEM,F
19,"WHITEHOUSE, SHELDON",S6RI00221,RI,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",DEM,F
0,"WILSON, JENNY",S8UT00143,UT,DEM,Open seat,Senate,"[2018, 2020]",[2018],DEM,P
