,name,candidate_id,state,party,incumbent_challenge_full,office_full,cycles,election_years,party,candidate_status
0,"GRAHAM, LINDSEY O.",S0SC00149,SC,REP,Incumbent,Senate,"[2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",REP,C
1,"GRAYSON, DERRICK E REV",S0GA00658,GA,REP,Challenger,Senate,[2020],[2020],REP,C
2,"HAGERTY, BILL",S0TN00169,TN,REP,Open seat,Senate,[2020],[2020],REP,C
3,"HAMILTON, BOB",S0KS00349,KS,REP,Open seat,Senate,[2020],[2020],REP,C
4,"HENRY, JON",S0TN00276,TN,REP,Open seat,Senate,[2020],[2020],REP,C
5,"HOLMQUIST, LARRY",S6NC00308,NC,REP,Challenger,Senate,"[2016, 2020]","[2016, 2020]",REP,N
6,"HOLTHUS, ROLLAND SCOTT MR",S0WY00186,WY,REP,Open seat,Senate,[2020],[2020],REP,N
7,"HUBBARD, PEGGY",S0IL00501,IL,REP,Challenger,Senate,[2020],[2020],REP,C
8,"HYATT, FOREST W. MR.",S0MN00286,MN,REP,Challenger,Senate,[2020],[2020],REP,C
9,"HYDE-SMITH, CINDY",S8MS00261,MS,REP,Incumbent,Senate,"[2018, 2020]","[2018, 2020]",REP,C
10,"INHOFE, JAMES M. SEN.",S4OK00083,OK,REP,Incumbent,Senate,"[1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1994, 1996, 2002, 2008, 2014, 2020]",REP,C
11,"INNIS, MATT",S0NE00080,NE,REP,Challenger,Senate,[2020],[2020],REP,C
12,"JAMES, JOHN",S8MI00372,MI,REP,Challenger,Senate,"[2018, 2020]","[2018, 2020]",REP,C
13,"JAMES, NAREN",S0KY00461,KY,REP,Challenger,Senate,[2020],[2020],REP,C
14,"JOHNSON, ARTHUR WAYNE",S0GA00492,GA,REP,Challenger,Senate,[2020],[2020],REP,C
15,"KOBACH, KRIS",S0KS00257,KS,REP,Open seat,Senate,[2020],[2020],REP,C
16,"LAPIERRE, MICHAEL JAMES",S0SC00313,SC,REP,Challenger,Senate,[2020],[2020],REP,C
17,"LARSON, DANIEL RICHARD",S0MT00157,MT,REP,Challenger,Senate,[2020],[2020],REP,N
18,"LATURNER, JAKE",S0KS00208,KS,REP,Open seat,Senate,[2020],[2020],REP,C
19,"LEVASSEUR, DEREK ALLEN",S0ME00095,ME,REP,Challenger,Senate,[2020],[2020],REP,C
0,"LEWIS, JASON",S0MN00328,MN,REP,Challenger,Senate,[2020],[2020],REP,C
1,"LINDSTROM, DAVID ALAN",S0KS00240,KS,REP,Open seat,Senate,[2020],[2020],REP,C
2,"LOEFFLER, KELLY",S0GA00526,GA,REP,Incumbent,Senate,[2020],[2020],REP,C
3,"LUMMIS, CYNTHIA MARIE MRS.",S0WY00137,WY,REP,Open seat,Senate,[2020],[2020],REP,C
4,"MARSHALL, ROBERT",S6IL00185,IL,REP,Challenger,Senate,"[1996, 1998, 2000, 2002, 2010, 2012, 2016, 2018, 2020]","[1996, 1998, 2010, 2016, 2020]",REP,C
5,"MARSHALL, ROGER W",S0KS00315,KS,REP,Open seat,Senate,[2020],[2020],REP,C
6,"MARSHALL, ROGER W",H6KS01179,KS,REP,Incumbent,Senate,"[2016, 2018, 2020]","[2016, 2018, 2020]",REP,C
7,"MARTINEZ, ELISA",S0NM00090,NM,REP,Open seat,Senate,[2020],[2020],REP,C
8,"MATLOCK, BRIAN",S0KS00331,KS,REP,Open seat,Senate,[2020],[2020],REP,C
9,"MAVIS, NEIL J MR.",S0OK00438,OK,REP,Challenger,Senate,[2020],[2020],REP,C
10,"MCCARTHY, DANIEL",S0AZ00376,AZ,REP,Challenger,Senate,[2020],[2020],REP,C
11,"MCCONNELL, MITCH",S2KY00012,KY,REP,Incumbent,Senate,"[1982, 1984, 1986, 1988, 1990, 1992, 1994, 1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1982, 1984, 1990, 1996, 2002, 2008, 2014, 2020]",REP,C
12,"MCSALLY, MARTHA",S8AZ00221,AZ,REP,Incumbent,Senate,"[2018, 2020]","[2018, 2020]",REP,C
13,"MEHTA, RIKIN",S0NJ00217,NJ,REP,Challenger,Senate,[2020],[2020],REP,C
14,"MEISSNER, STUART",S4NJ00250,NJ,REP,Challenger,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
15,"MERRILL, JOHN H",S0AL00289,AL,REP,Challenger,Senate,[2020],[2020],REP,C
16,"MESSNER, BRYANT 'CORKY' S.",S0NH00334,NH,REP,Challenger,Senate,[2020],[2020],REP,C
17,"MILLER, BRYAN",S4WY00147,WY,REP,Open seat,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
18,"MILLER, ERVAN KATARI MR.",S0GA00534,GA,REP,Challenger,Senate,[2020],[2020],REP,N
19,"MOONEY, ARNOLD",S0AL00263,AL,REP,Challenger,Senate,[2020],[2020],REP,C
0,"MOORE, ROY STEWART",S0AL00297,AL,REP,Challenger,Senate,[2020],[2020],REP,C
1,"MORGAN, CLINTON WESLEY",S0KY00297,KY,REP,Challenger,Senate,[2020],[2020],REP,C
2,"MORRELL, KENT",S0TN00250,TN,REP,Open seat,Senate,[2020],[2020],REP,N
3,"MURPHY, DUSTIN",S0LA00352,LA,REP,Challenger,Senate,[2020],[2020],REP,N
4,"O'BRIEN, WILLIAM LAWRENCE",S0NH00318,NH,REP,Challenger,Senate,[2020],[2020],REP,C
5,"O'CONNOR, KEVIN J",S0MA00232,MA,REP,Challenger,Senate,[2020],[2020],REP,C
6,"OSBORNE, JOHN E.",S0TN00326,TN,REP,Open seat,Senate,[2020],[2020],REP,C
7,"PERDUE, DAVID",S4GA11285,GA,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
8,"PERKINS, JO RAE",S4OR00156,OR,REP,Challenger,Senate,"[2014, 2016, 2020]","[2014, 2020]",REP,C
9,"PRESLEY, JOHNNY W",S0TN00219,TN,REP,Open seat,Senate,[2020],[2020],REP,C
10,"PRUITT, BRYAN",S0KS00281,KS,REP,Open seat,Senate,[2020],[2020],REP,C
11,"REYNOLDS, JOSEPH",S0SC00297,SC,REP,Challenger,Senate,[2020],[2020],REP,C
12,"RICE, DONNA",S0WY00178,WY,REP,Open seat,Senate,[2020],[2020],REP,C
13,"RICH, MICK",S8NM00200,NM,REP,Open seat,Senate,"[2018, 2020]","[2018, 2020]",REP,P
14,"RISCH, JAMES E",S8ID00092,ID,REP,Incumbent,Senate,"[2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2008, 2014, 2020]",REP,C
15,"ROBERTS, PAT",S6KS00080,KS,REP,Incumbent,Senate,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[1996, 2002, 2008, 2014, 2020]",REP,C
16,"ROMERO, PAUL JOSEPH MR. JR.",S0OR00337,OR,REP,Challenger,Senate,[2020],[2020],REP,C
17,"RONCHETTI, MARK V.",S0NM00124,NM,REP,Open seat,Senate,[2020],[2020],REP,C
18,"ROUNDS, MIKE",S4SD00049,SD,REP,Incumbent,Senate,"[2012, 2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
19,"SANCHEZ, LOUIE J",S0NM00116,NM,REP,Open seat,Senate,[2020],[2020],REP,C
0,"SASSE, BENJAMIN E",S4NE00090,NE,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
1,"SERBIN, JOHN PAUL",S0AL00271,AL,REP,Challenger,Senate,[2020],[2020],REP,N
2,"SESSIONS, JEFFERSON B",S6AL00195,AL,REP,Challenger,Senate,"[1996, 1998, 2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2002, 2008, 2014, 2020]",REP,C
3,"SETHI, DR. MANNY",S0TN00144,TN,REP,Open seat,Senate,[2020],[2020],REP,C
4,"SHORT, ROBERT G",S0WY00160,WY,REP,Open seat,Senate,[2020],[2020],REP,C
5,"SINGH, HIRSH V",S0NJ00191,NJ,REP,Challenger,Senate,[2020],[2020],REP,C
6,"SLOAN, MARK STEPHEN MR",S0SC00230,SC,REP,Challenger,Senate,"[2018, 2020]",[2020],REP,N
7,"STITT, JJ MR.",S0OK00347,OK,REP,Challenger,Senate,[2020],[2020],REP,C
8,"STOVALL, DWAYNE",S4TX00433,TX,REP,Challenger,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
9,"SULLIVAN, DAN",S4AK00214,AK,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
10,"TARTER, THOMAS",S0IL00527,IL,REP,Challenger,Senate,[2020],[2020],REP,C
11,"TAYLOR, KANDISS SHARPE DR",S0GA00641,GA,REP,Challenger,Senate,[2020],[2020],REP,C
12,"TAYLOR, SCOTT W.",S0VA00104,VA,REP,Challenger,Senate,[2020],[2020],REP,P
13,"TILLIS, THOM R. SEN.",S4NC00162,NC,REP,Incumbent,Senate,"[2014, 2016, 2018, 2020]","[2014, 2020]",REP,C
14,"TUBERVILLE, THOMAS H",S0AL00230,AL,REP,Challenger,Senate,[2020],[2020],REP,C
15,"TUCKER, GARLAND S III",S0NC00319,NC,REP,Challenger,Senate,[2020],[2020],REP,C
16,"WAGLE, SUSAN",S0KS00299,KS,REP,Open seat,Senate,[2020],[2020],REP,C
17,"WATERS, ALLEN",S0RI00067,RI,REP,Challenger,Senate,[2020],[2020],REP,C
18,"WHEELER, JOSHUA B",S0WY00103,WY,REP,Open seat,Senate,[2020],[2020],REP,C
19,"WHITT, LARRY ALLEN II",S0WV00231,WV,REP,Challenger,Senate,[2020],[2020],REP,C
