,name,candidate_id,candidate_state,party,incumbent_challenge_full,office_full,cycles,election_years,candidate_status,donor_state,donation_count,total_raised,in_state
59,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,MS,29,796.76,True
60,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,MT,1,2.87,False
61,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,NE,1,1.11,False
62,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,NY,3,90.72,False
63,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,OH,1,2.0,False
64,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,OT,18,550.0,False
65,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,TN,1,10.0,False
66,"BOHREN, JENSEN MR",S8MS00220,MS,DEM,Challenger,Senate,"[2018, 2020]","[2018, 2020]",N,TX,1,1.06,False
67,"BOYD JR, WILLIE ""WILL""  EUGENE",S8AL00407,AL,DEM,Challenger,Senate,[2018],[2018],N,AL,3,652.0,True
68,"BOYD JR, WILLIE ""WILL""  EUGENE",S8AL00407,AL,DEM,Challenger,Senate,[2018],[2018],N,SC,6,4494.72,False
69,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,AA,6,1650.0,False
70,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,AE,4,800.0,False
71,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,AK,8,5350.0,False
72,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,AL,50,19373.33,False
73,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,AP,1,200.0,False
74,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,AR,9,8500.0,False
75,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,AZ,56,25535.0,False
76,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,CA,1718,1236481.16,False
77,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,CO,76,41240.83,False
78,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,CT,139,79948.32,False
79,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,DC,443,299526.94,False
80,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,DE,9,4999.98,False
81,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,FL,185,81734.91,False
82,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,GA,97,25833.0,False
83,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,HI,24,14450.0,False
84,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,IA,1,500.0,False
85,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,ID,12,6900.0,False
86,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,IL,329,155325.31,False
87,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,IN,22,3180.0,False
88,"BREDESEN, PHILIP",S8TN00386,TN,DEM,Open seat,Senate,"[2018, 2020]",[2018],P,KS,1,650.0,False
89,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,AA,18,2373.0,False
90,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,AE,2,400.0,False
91,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,AK,79,3433.12,False
92,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,AL,128,9548.5,False
93,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,AP,3,53.0,False
94,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,AR,136,13955.0,False
95,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,AZ,423,29642.2,False
96,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,CA,7453,1945437.97,False
97,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,CO,857,87768.03,False
98,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,CT,718,88840.89,False
99,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,DC,1136,344939.26,False
100,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,DE,116,10224.42,False
101,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,FL,1544,237142.16,False
102,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,GA,482,66029.12,False
103,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,HI,130,21087.01,False
104,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,IA,143,10131.9,False
105,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,ID,203,8313.17,False
106,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,IL,1783,314123.12,False
107,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,IN,362,21908.67,False
108,"BROWN, SHERROD",S6OH00163,OH,DEM,,Senate,"[2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2006, 2012, 2018, 2024]",F,KS,217,10803.34,False
109,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,AE,1,1000.0,False
110,"CANTWELL, MARIA",S8WA00194,WA,DEM,,Senate,"[2000, 2002, 2004, 2006, 2008, 2010, 2012, 2014, 2016, 2018, 2020]","[2000, 2006, 2012, 2018, 2024]",F,AK,96,41985.0,False
