,name,candidate_id,candidate_state,party,incumbent_challenge_full,office_full,cycles,election_years,candidate_status,donor_state,donation_count,total_raised,in_state
112,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,HI,11,1148.0,False
113,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,IA,19,4210.0,False
114,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,ID,17,1880.0,False
115,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,IL,95,48952.0,False
116,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,IN,34,9945.0,False
117,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,KS,25,5919.5,False
118,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,KY,24,1904.5,False
119,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,LA,26,4901.0,False
120,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MA,95,42185.0,False
121,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MD,113,56908.2,False
122,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,ME,3,1120.0,False
123,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MI,65,14661.5,False
124,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MN,37,5795.0,False
125,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MO,47,20012.0,False
126,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MS,7,4845.0,False
127,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,MT,11,1275.0,False
128,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NC,64,12475.0,False
129,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,ND,3,300.0,False
130,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NE,17,4155.0,False
131,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NH,24,2874.0,False
132,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NJ,125,35233.5,False
133,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NM,5,512.0,False
134,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NV,31,4273.0,False
135,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,NY,203,55557.95,False
136,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,OH,88,30297.55,False
137,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,OK,38,7807.0,False
138,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,OR,24,3849.0,False
139,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,OT,25,23702.0,False
140,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,PA,8833,2958393.52,True
141,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,RI,5,6900.0,False
142,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,SC,53,12743.0,False
143,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,SD,15,945.0,False
144,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,TN,45,10403.55,False
145,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,TX,193,95533.0,False
146,"BARLETTA, LOU",S8PA00320,PA,REP,Challenger,Senate,"[2018, 2020]",[2018],P,UT,22,2971.0,False
