,candidate_id,state,donation_count,total_raised,cycle
311,S0NY00410,CT,695,351175.27,2018
312,S0NY00410,DC,650,336617.72,2018
313,S0NY00410,DE,37,3475.0,2018
314,S0NY00410,FL,794,289635.11,2018
315,S0NY00410,GA,249,47615.0,2018
316,S0NY00410,GU,15,385.0,2018
317,S0NY00410,HI,67,4470.0,2018
318,S0NY00410,IA,30,1605.0,2018
319,S0NY00410,ID,56,5364.81,2018
320,S0NY00410,IL,1000,488822.59,2018
321,S0NY00410,IN,99,14737.69,2018
322,S0NY00410,KS,72,5130.5,2018
323,S0NY00410,KY,41,3415.0,2018
324,S0NY00410,LA,212,50622.0,2018
325,S8AL00373,AL,21,6326.3,2018
326,S8AL00373,FL,1,500.0,2018
327,S8AL00373,TX,1,500.0,2018
328,S8CA00358,AR,3,759.0,2018
329,S8CA00358,CA,81,95134.0,2018
330,S8CA00358,CO,1,1500.0,2018
331,S8CA00358,FL,3,700.0,2018
332,S8CA00358,MA,2,500.0,2018
333,S8CA00358,OT,5,6470.0,2018
334,S8CA00358,TN,2,350.0,2018
335,S8CA00358,TX,1,1000.0,2018
336,S8DE00137,CA,31,11180.0,2018
337,S8DE00137,CO,1,700.0,2018
338,S8DE00137,CT,3,600.0,2018
339,S8DE00137,DC,3,2800.0,2018
340,S8DE00137,DE,193,53224.85,2018
341,S8DE00137,FL,2,338.69,2018
342,S8DE00137,HI,2,350.0,2018
343,S8DE00137,IN,1,250.0,2018
344,S8DE00137,MA,6,3750.0,2018
345,S8DE00137,MD,3,1335.0,2018
346,S8DE00137,MI,6,377.0,2018
347,S8DE00137,MN,8,1781.0,2018
348,S8DE00137,NJ,1,250.0,2018
349,S8DE00137,NM,3,475.0,2018
350,S8DE00137,NY,18,8100.0,2018
351,S8DE00137,OR,5,1725.0,2018
352,S8DE00137,OT,2,500.0,2018
353,S8DE00137,PA,2,750.0,2018
354,S8DE00137,TX,3,2000.0,2018
355,S8DE00137,VA,2,255.0,2018
356,S8CA00416,AZ,2,362.0,2018
357,S8CA00416,CA,446,68384.11,2018
358,S8CA00416,CO,46,2069.0,2018
359,S8CA00416,CT,2,762.0,2018
360,S8CA00416,DE,7,360.9,2018
361,S8CA00416,FL,14,8941.0,2018
362,S8CA00416,GA,16,413.0,2018
363,S8CA00416,HI,13,2012.0,2018
364,S8CA00416,IA,5,662.0,2018
365,S8CA00416,IL,13,898.0,2018
366,S8CA00416,IN,4,108.0,2018
367,S8CA00416,KY,6,150.0,2018
368,S8CA00416,MA,34,7221.0,2018
369,S8CA00416,MD,4,554.0,2018
370,S8CA00416,ME,1,250.0,2018
371,S8CA00416,MI,7,1428.0,2018
372,S8CA00416,MN,1,1111.0,2018
373,S8CA00416,NC,3,950.0,2018
374,S8CA00416,NE,1,270.0,2018
375,S8CA00416,NJ,9,5104.0,2018
376,S2NM00088,AK,6,3076.84,2018
377,S2NM00088,AL,5,12100.0,2018
378,S2NM00088,AR,8,2775.0,2018
379,S2NM00088,AZ,83,47075.0,2018
380,S2NM00088,CA,628,470776.34,2018
381,S2NM00088,CO,152,99995.75,2018
382,S2NM00088,CT,69,39936.83,2018
383,S2NM00088,DC,369,246214.73,2018
384,S2NM00088,DE,1,250.0,2018
385,S2NM00088,FL,93,58240.0,2018
386,S2NM00088,GA,51,34260.0,2018
387,S2NM00088,HI,11,27300.0,2018
388,S2NM00088,IA,3,5250.0,2018
389,S2NM00088,ID,3,3950.0,2018
390,S2NM00088,IL,106,107885.5,2018
391,S2NM00088,IN,49,2480.0,2018
392,S2NM00088,KS,48,1120.0,2018
393,S2NM00088,LA,33,42454.17,2018
394,S2NM00088,MA,276,154668.0,2018
395,S2NM00088,MD,250,102213.84,2018
396,S2ND00099,AA,39,3355.0,2018
397,S2ND00099,AE,4,550.0,2018
398,S2ND00099,AK,109,24052.5,2018
399,S2ND00099,AL,125,26653.0,2018
400,S2ND00099,AP,1,1000.0,2018
401,S2ND00099,AR,110,26625.5,2018
402,S2ND00099,AZ,568,105056.83,2018
